id,name,surname,adress,birthDate,phoneNumber,sex
93,Zhanna,Antonenko,Odesa,2013-10-02 00:00:00,380299359432,f
94,Fedir,Bilenko,Sambir,2012-11-16 00:00:00,380051071232,m
95,Kateryna,Kovalko,Strii,2016-07-27 00:00:00,380820068094,f
96,Pavlo,Melko,Lviv,2016-08-08 00:00:00,380144098231,m
97,Zhanna,Sydorenko,Frankivsk,2008-08-30 00:00:00,380391936536,f
98,Oleh,Vasylchenko,Frankivsk,2007-06-13 00:00:00,380147985767,m
99,Kateryna,Usenko,Kyiv,2013-09-22 00:00:00,380910122304,f
100,Pavlo,Lysenko,Frankivsk,2009-04-05 00:00:00,380049725381,m
101,Mariia,Nesterenko,Dnipro,2007-10-13 00:00:00,380255713022,f
102,Yevhen,Bilenko,Odesa,2009-03-21 00:00:00,380229725490,m
103,Mariia,Nesterenko,Dnipro,2015-01-12 00:00:00,380599034478,f
104,Andrii,Romanchuko,Frankivsk,2015-07-19 00:00:00,380286002980,m
105,Zhanna,Yevdokymenko,Strii,2015-06-23 00:00:00,380109282330,f
106,Vitalii,Melko,Odesa,2009-11-04 00:00:00,380396989465,m
107,Daryna,Ivanchenko,Strii,2009-01-10 00:00:00,380146434604,f
108,Bohdan,Usenko,Odesa,2016-02-14 00:00:00,380484418617,m
109,Daryna,Hrytsenko,Rivne,2014-01-11 00:00:00,380688848837,f
110,Yevhen,Melko,Frankivsk,2009-08-22 00:00:00,380496651889,m
111,Svitlana,Bilenko,Lviv,2016-09-28 00:00:00,380071614201,f
112,Oleh,Pavlenko,Rivne,2011-11-22 00:00:00,380722652712,m
113,Halyna,Fedorenko,Strii,2013-02-17 00:00:00,380607223940,f
114,Yevhen,Romanchuko,Lviv,2013-02-05 00:00:00,380261233117,m
115,Daryna,Romanchuko,Sambir,2011-09-12 00:00:00,380177197164,f
116,Fedir,Antonenko,Lviv,2014-08-17 00:00:00,380709895935,m
117,Veronika,Tkachenko,Sambir,2011-03-22 00:00:00,380119726741,f
118,Andrii,Romanchuko,Rivne,2010-11-17 00:00:00,380708636568,m
119,Daryna,Vasylchenko,Kyiv,2012-11-04 00:00:00,380877935202,f
120,Fedir,Bilenko,Dnipro,2007-03-29 00:00:00,380390523312,m
121,Halyna,Kovalko,Kyiv,2007-09-24 00:00:00,380318186760,f
122,Roman,Melko,Frankivsk,2015-02-13 00:00:00,380444342932,m
123,Nataliia,Kovalko,Kyiv,2010-05-13 00:00:00,380681569891,f
124,Pavlo,Melko,Lviv,2016-08-23 00:00:00,380255770405,m
125,Svitlana,Vasylchenko,Strii,2009-08-04 00:00:00,380046029200,f
126,Bohdan,Sydorenko,Odesa,2015-02-15 00:00:00,380234730167,m
127,Nataliia,Danylenko,Lviv,2013-10-21 00:00:00,380766679748,f
128,Pavlo,Romanchuko,Lviv,2011-01-11 00:00:00,380727807169,m
129,Nataliia,Usenko,Dnipro,2013-09-24 00:00:00,380901311112,f
130,Bohdan,Tkachenko,Dnipro,2013-01-31 00:00:00,380581860928,m
131,Kateryna,Melko,Odesa,2015-06-05 00:00:00,380139700421,f
132,Fedir,Vasylchenko,Kyiv,2011-12-02 00:00:00,380244028040,m
133,Larysa,Romanchuko,Frankivsk,2011-07-06 00:00:00,380492890477,f
134,Andrii,Kovalenko,Rivne,2008-07-13 00:00:00,380555516424,m
135,Zhanna,Tkachenko,Lviv,2007-09-21 00:00:00,380085589015,f
136,Vitalii,Hrytsenko,Odesa,2007-07-26 00:00:00,380158329502,m
137,Halyna,Kovalenko,Sambir,2013-01-28 00:00:00,380141694129,f
138,Fedir,Vasylchenko,Sambir,2012-07-06 00:00:00,380505515096,m
139,Nataliia,Sydorenko,Kyiv,2013-11-24 00:00:00,380751496508,f
140,Vitalii,Tkachenko,Dnipro,2013-10-27 00:00:00,380694406079,m
141,Mariia,Usenko,Sambir,2009-07-08 00:00:00,380559608098,f
142,Vitalii,Oleksiyenko,Sambir,2009-03-30 00:00:00,380476836072,m
143,Zhanna,Melko,Kyiv,2007-06-08 00:00:00,380016403240,f
144,Vitalii,Yevdokymenko,Lviv,2012-11-18 00:00:00,380982053795,m
145,Mariia,Bilenko,Rivne,2015-04-18 00:00:00,380438329365,f
146,Bohdan,Melko,Strii,2008-05-25 00:00:00,380229710770,m
147,Halyna,Kovalenko,Dnipro,2014-07-28 00:00:00,380524119118,f
148,Ivan,Ivanchenko,Frankivsk,2010-05-14 00:00:00,380949254158,m
149,Zhanna,Yevdokymenko,Dnipro,2015-02-03 00:00:00,380688200561,f
150,Pavlo,Hrytsenko,Frankivsk,2016-12-31 00:00:00,380771219622,m
151,Daryna,Lysenko,Kyiv,2014-11-01 00:00:00,380754546147,f
152,Pavlo,Balanenko,Lviv,2012-05-07 00:00:00,380755816869,m
153,Kateryna,Usenko,Odesa,2013-12-27 00:00:00,380185537607,f
154,Yevhen,Romanchuko,Frankivsk,2013-09-14 00:00:00,380174943262,m
155,Halyna,Oleksiyenko,Kyiv,2011-06-08 00:00:00,380430180253,f
156,Bohdan,Sydorenko,Kyiv,2014-05-19 00:00:00,380233323655,m
157,Svitlana,Antonenko,Strii,2007-12-02 00:00:00,380073124040,f
158,Roman,Ivanchenko,Kyiv,2013-04-23 00:00:00,380574929332,m
159,Mariia,Balanenko,Frankivsk,2007-04-08 00:00:00,380477532932,f
160,Roman,Antonenko,Kyiv,2013-06-07 00:00:00,380858007115,m
161,Nataliia,Danylenko,Odesa,2015-10-22 00:00:00,380349814757,f
162,Pavlo,Oleksiyenko,Strii,2011-04-30 00:00:00,380905521111,m
163,Mariia,Nesterenko,Rivne,2013-08-09 00:00:00,380054893475,f
164,Roman,Oleksiyenko,Lviv,2010-09-18 00:00:00,380702361530,m
165,Larysa,Oleksiyenko,Odesa,2012-11-05 00:00:00,380984735916,f
166,Pavlo,Lysenko,Sambir,2013-08-20 00:00:00,380058696293,m
167,Halyna,Hrytsenko,Sambir,2015-04-06 00:00:00,380582366949,f
168,Fedir,Antonenko,Frankivsk,2015-09-03 00:00:00,380118690951,m
169,Halyna,Kovalko,Strii,2014-03-15 00:00:00,380800421495,f
170,Ivan,Yevdokymenko,Dnipro,2016-10-01 00:00:00,380415791874,m
171,Zhanna,Fedorenko,Rivne,2009-08-29 00:00:00,380060999844,f
172,Fedir,Ivanchenko,Strii,2013-12-25 00:00:00,380510613557,m
173,Zhanna,Melko,Lviv,2008-11-15 00:00:00,380990737912,f
174,Vitalii,Sydorenko,Strii,2007-04-26 00:00:00,380922919427,m
175,Kateryna,Pavlenko,Kyiv,2015-09-20 00:00:00,380003800022,f
176,Roman,Melko,Rivne,2010-07-07 00:00:00,380895156805,m
177,Veronika,Antonenko,Rivne,2015-07-14 00:00:00,380282443232,f
178,Vitalii,Bilenko,Dnipro,2015-09-02 00:00:00,380865848746,m
179,Svitlana,Ivanchenko,Dnipro,2009-04-26 00:00:00,380578715564,f
180,Fedir,Danylenko,Kyiv,2008-07-24 00:00:00,380615527816,m
181,Svitlana,Melko,Odesa,2011-08-10 00:00:00,380434480785,f
182,Yevhen,Sydorenko,Frankivsk,2016-08-22 00:00:00,380607115537,m
183,Halyna,Kovalko,Lviv,2014-02-21 00:00:00,380333810581,f
184,Ivan,Hrytsenko,Kyiv,2012-05-19 00:00:00,380040428221,m
185,Larysa,Fedorenko,Sambir,2014-11-12 00:00:00,380834182050,f
186,Yevhen,Yevdokymenko,Lviv,2015-12-26 00:00:00,380775171853,m
187,Kateryna,Sydorenko,Kyiv,2016-01-12 00:00:00,380134883155,f
188,Ivan,Danylenko,Lviv,2008-07-10 00:00:00,380542974793,m
189,Halyna,Bilenko,Lviv,2008-08-20 00:00:00,380469756054,f
190,Yevhen,Vasylchenko,Dnipro,2009-01-05 00:00:00,380881362983,m
191,Zhanna,Ivanchenko,Kyiv,2010-12-29 00:00:00,380887291068,f
192,Pavlo,Melko,Kyiv,2008-12-03 00:00:00,380822540139,m
193,Kateryna,Nesterenko,Strii,2011-10-07 00:00:00,380293745422,f
194,Pavlo,Balanenko,Rivne,2014-08-31 00:00:00,380564740801,m
195,Zhanna,Oleksiyenko,Dnipro,2011-08-15 00:00:00,380117038323,f
196,Vitalii,Melko,Lviv,2010-04-18 00:00:00,380794680059,m
197,Veronika,Ivanchenko,Strii,2011-12-02 00:00:00,380526728728,f
198,Oleh,Romanchuko,Kyiv,2007-01-31 00:00:00,380071022506,m
199,Halyna,Ivanchenko,Lviv,2009-09-29 00:00:00,380253903933,f
200,Fedir,Sydorenko,Sambir,2015-06-29 00:00:00,380464826799,m
201,Zhanna,Bilenko,Sambir,2010-04-08 00:00:00,380926116954,f
202,Bohdan,Kovalenko,Odesa,2008-12-30 00:00:00,380815776576,m
203,Kateryna,Tkachenko,Rivne,2009-02-20 00:00:00,380403898395,f
204,Bohdan,Vasylchenko,Lviv,2016-06-28 00:00:00,380342073215,m
205,Veronika,Oleksiyenko,Lviv,2013-08-24 00:00:00,380373570074,f
206,Fedir,Kovalenko,Kyiv,2007-04-24 00:00:00,380657491121,m
207,Larysa,Usenko,Frankivsk,2014-08-04 00:00:00,380439993179,f
208,Pavlo,Kovalko,Strii,2008-03-14 00:00:00,380374641559,m
209,Larysa,Kovalko,Lviv,2007-07-19 00:00:00,380923583095,f
210,Vitalii,Bilenko,Frankivsk,2010-10-22 00:00:00,380477943769,m
211,Zhanna,Danylenko,Kyiv,2015-01-24 00:00:00,380656197840,f
212,Bohdan,Pavlenko,Rivne,2014-12-04 00:00:00,380202476991,m
213,Nataliia,Antonenko,Lviv,2015-04-12 00:00:00,380301292273,f
214,Yevhen,Kovalenko,Kyiv,2010-08-20 00:00:00,380269683956,m
215,Larysa,Romanchuko,Strii,2015-02-21 00:00:00,380140906449,f
216,Andrii,Hrytsenko,Frankivsk,2007-05-22 00:00:00,380322399437,m
217,Larysa,Vasylchenko,Strii,2012-02-24 00:00:00,380626821014,f
218,Oleh,Sydorenko,Lviv,2010-06-16 00:00:00,380353111564,m
219,Mariia,Hrytsenko,Rivne,2007-02-04 00:00:00,380018592738,f
220,Ivan,Kovalenko,Odesa,2016-06-07 00:00:00,380209613166,m
221,Halyna,Vasylchenko,Rivne,2013-09-30 00:00:00,380666193839,f
222,Fedir,Ivanchenko,Rivne,2010-04-16 00:00:00,380408349721,m
223,Mariia,Balanenko,Lviv,2014-01-03 00:00:00,380376875239,f
224,Andrii,Kovalko,Rivne,2009-09-17 00:00:00,380938506331,m
225,Zhanna,Tkachenko,Odesa,2007-12-16 00:00:00,380596361585,f
226,Bohdan,Melko,Kyiv,2009-03-26 00:00:00,380819295127,m
227,Daryna,Tkachenko,Odesa,2008-12-21 00:00:00,380991103581,f
228,Oleh,Ivanchenko,Odesa,2012-05-25 00:00:00,380924567580,m
229,Nataliia,Romanchuko,Frankivsk,2016-03-14 00:00:00,380403235881,f
230,Bohdan,Pavlenko,Frankivsk,2007-06-17 00:00:00,380134707560,m
231,Daryna,Oleksiyenko,Rivne,2010-08-18 00:00:00,380670452919,f
232,Bohdan,Vasylchenko,Sambir,2008-12-04 00:00:00,380131938746,m
233,Nataliia,Danylenko,Frankivsk,2012-08-30 00:00:00,380010245232,f
234,Vitalii,Pavlenko,Sambir,2009-04-20 00:00:00,380424345422,m
235,Svitlana,Danylenko,Sambir,2009-12-20 00:00:00,380679716670,f
236,Yevhen,Oleksiyenko,Frankivsk,2008-10-05 00:00:00,380735477521,m
237,Zhanna,Usenko,Odesa,2013-11-09 00:00:00,380729255869,f
238,Roman,Fedorenko,Kyiv,2008-11-28 00:00:00,380502594401,m
239,Kateryna,Danylenko,Kyiv,2013-02-18 00:00:00,380537398608,f
240,Fedir,Romanchuko,Dnipro,2015-03-15 00:00:00,380099759533,m
241,Halyna,Tkachenko,Lviv,2013-05-07 00:00:00,380204387204,f
242,Yevhen,Romanchuko,Frankivsk,2013-12-09 00:00:00,380028778622,m
243,Svitlana,Balanenko,Frankivsk,2014-06-11 00:00:00,380717562622,f
244,Roman,Kovalenko,Dnipro,2013-01-27 00:00:00,380625077213,m
245,Veronika,Pavlenko,Strii,2013-12-15 00:00:00,380617813579,f
246,Oleh,Pavlenko,Strii,2009-01-01 00:00:00,380745848724,m
247,Halyna,Sydorenko,Rivne,2011-06-05 00:00:00,380947442264,f
248,Oleh,Vasylchenko,Dnipro,2007-11-18 00:00:00,380012740538,m
249,Kateryna,Hrytsenko,Frankivsk,2014-08-27 00:00:00,380598863348,f
250,Vitalii,Melko,Sambir,2009-10-02 00:00:00,380802569201,m
251,Svitlana,Romanchuko,Dnipro,2015-12-10 00:00:00,380165535222,f
252,Yevhen,Melko,Strii,2011-06-14 00:00:00,380210476512,m
253,Nataliia,Sydorenko,Frankivsk,2011-06-18 00:00:00,380429921856,f
254,Ivan,Fedorenko,Frankivsk,2013-10-17 00:00:00,380781871464,m
255,Larysa,Lysenko,Rivne,2013-09-13 00:00:00,380607950558,f
256,Roman,Hrytsenko,Odesa,2008-01-24 00:00:00,380405694273,m
257,Nataliia,Bilenko,Frankivsk,2011-09-04 00:00:00,380056502251,f
258,Fedir,Fedorenko,Sambir,2011-12-12 00:00:00,380693170299,m
259,Larysa,Fedorenko,Strii,2014-03-04 00:00:00,380583900966,f
260,Vitalii,Fedorenko,Strii,2015-10-17 00:00:00,380016877951,m
261,Veronika,Usenko,Sambir,2016-05-08 00:00:00,380659486499,f
262,Bohdan,Oleksiyenko,Odesa,2014-05-08 00:00:00,380577031423,m
263,Mariia,Hrytsenko,Lviv,2016-08-18 00:00:00,380892569799,f
264,Yevhen,Kovalenko,Kyiv,2013-01-14 00:00:00,380656093319,m
265,Kateryna,Balanenko,Dnipro,2007-10-17 00:00:00,380860632256,f
266,Pavlo,Yevdokymenko,Lviv,2010-05-09 00:00:00,380707467673,m
267,Halyna,Kovalenko,Odesa,2010-06-13 00:00:00,380026830416,f
268,Oleh,Vasylchenko,Kyiv,2008-05-13 00:00:00,380547660572,m
269,Daryna,Melko,Rivne,2007-10-09 00:00:00,380554966579,f
270,Roman,Lysenko,Lviv,2010-08-11 00:00:00,380262957435,m
271,Halyna,Bilenko,Strii,2009-10-04 00:00:00,380697653134,f
272,Bohdan,Hrytsenko,Lviv,2009-07-03 00:00:00,380134908877,m
273,Zhanna,Lysenko,Lviv,2010-04-25 00:00:00,380998723928,f
274,Pavlo,Melko,Kyiv,2008-04-02 00:00:00,380971462874,m
275,Veronika,Yevdokymenko,Sambir,2009-10-24 00:00:00,380274447437,f
276,Roman,Melko,Lviv,2010-05-08 00:00:00,380896279237,m
277,Halyna,Melko,Frankivsk,2013-08-08 00:00:00,380737557582,f
278,Fedir,Oleksiyenko,Dnipro,2015-03-22 00:00:00,380604425508,m
279,Kateryna,Yevdokymenko,Dnipro,2007-03-19 00:00:00,380695236172,f
280,Oleh,Nesterenko,Frankivsk,2009-02-19 00:00:00,380883135553,m
281,Nataliia,Hrytsenko,Frankivsk,2015-01-08 00:00:00,380826303279,f
282,Fedir,Oleksiyenko,Sambir,2010-06-04 00:00:00,380451433292,m
283,Daryna,Kovalenko,Strii,2016-11-29 00:00:00,380282035662,f
284,Yevhen,Antonenko,Frankivsk,2012-09-14 00:00:00,380986521141,m
285,Zhanna,Balanenko,Lviv,2014-01-06 00:00:00,380346750479,f
286,Oleh,Kovalenko,Odesa,2007-04-11 00:00:00,380811527796,m
287,Svitlana,Lysenko,Frankivsk,2007-12-29 00:00:00,380332075720,f
288,Yevhen,Oleksiyenko,Strii,2012-05-26 00:00:00,380029925557,m
289,Halyna,Nesterenko,Strii,2012-06-19 00:00:00,380225816443,f
290,Vitalii,Kovalenko,Dnipro,2011-01-08 00:00:00,380687567248,m
291,Larysa,Nesterenko,Rivne,2013-10-02 00:00:00,380593874895,f
292,Fedir,Kovalko,Dnipro,2016-08-15 00:00:00,380232400853,m
293,Svitlana,Tkachenko,Strii,2014-01-04 00:00:00,380378276673,f
294,Fedir,Antonenko,Kyiv,2008-06-02 00:00:00,380969099308,m
295,Zhanna,Usenko,Dnipro,2011-06-03 00:00:00,380024766482,f
296,Roman,Fedorenko,Rivne,2012-07-16 00:00:00,380548864610,m
297,Halyna,Pavlenko,Odesa,2012-08-03 00:00:00,380134852587,f
298,Vitalii,Hrytsenko,Kyiv,2011-08-15 00:00:00,380119124415,m
299,Svitlana,Kovalko,Sambir,2011-06-12 00:00:00,380586485253,f
300,Bohdan,Bilenko,Odesa,2014-02-08 00:00:00,380824894391,m
301,Nataliia,Usenko,Kyiv,2012-06-14 00:00:00,380378273751,f
302,Fedir,Pavlenko,Sambir,2008-09-07 00:00:00,380667241631,m
303,Halyna,Oleksiyenko,Odesa,2014-05-01 00:00:00,380989921708,f
304,Fedir,Lysenko,Kyiv,2008-11-25 00:00:00,380130323456,m
305,Zhanna,Ivanchenko,Odesa,2011-02-16 00:00:00,380496508906,f
306,Roman,Nesterenko,Lviv,2008-11-12 00:00:00,380852155403,m
307,Kateryna,Oleksiyenko,Rivne,2007-09-11 00:00:00,380310594229,f
308,Bohdan,Bilenko,Frankivsk,2012-05-13 00:00:00,380397437106,m
309,Halyna,Bilenko,Rivne,2016-05-13 00:00:00,380102680915,f
310,Yevhen,Kovalenko,Lviv,2011-02-19 00:00:00,380774824356,m
311,Kateryna,Oleksiyenko,Frankivsk,2012-05-14 00:00:00,380432761958,f
312,Roman,Fedorenko,Lviv,2015-03-29 00:00:00,380140026249,m
313,Kateryna,Balanenko,Strii,2012-11-02 00:00:00,380918028194,f
314,Bohdan,Nesterenko,Frankivsk,2007-04-18 00:00:00,380039747645,m
315,Zhanna,Balanenko,Lviv,2011-07-21 00:00:00,380439245065,f
316,Ivan,Oleksiyenko,Strii,2008-09-11 00:00:00,380395122931,m
317,Zhanna,Kovalko,Strii,2010-01-31 00:00:00,380394721624,f
318,Oleh,Vasylchenko,Dnipro,2014-01-08 00:00:00,380195978665,m
319,Daryna,Fedorenko,Strii,2011-11-27 00:00:00,380076895364,f
320,Roman,Oleksiyenko,Sambir,2009-03-27 00:00:00,380733912172,m
321,Zhanna,Kovalenko,Sambir,2010-08-03 00:00:00,380886942536,f
322,Roman,Oleksiyenko,Kyiv,2013-02-17 00:00:00,380192032296,m
323,Nataliia,Hrytsenko,Rivne,2008-09-19 00:00:00,380778201689,f
324,Fedir,Oleksiyenko,Sambir,2010-12-14 00:00:00,380017756909,m
325,Zhanna,Kovalko,Frankivsk,2012-04-25 00:00:00,380033912017,f
326,Andrii,Fedorenko,Frankivsk,2010-05-26 00:00:00,380654886001,m
327,Daryna,Ivanchenko,Frankivsk,2014-10-14 00:00:00,380157093651,f
328,Ivan,Fedorenko,Lviv,2015-01-04 00:00:00,380373377336,m
329,Veronika,Yevdokymenko,Sambir,2008-01-21 00:00:00,380516936222,f
330,Roman,Sydorenko,Rivne,2012-05-03 00:00:00,380734085102,m
331,Kateryna,Danylenko,Frankivsk,2014-01-14 00:00:00,380886337191,f
332,Andrii,Antonenko,Sambir,2016-08-20 00:00:00,380096258674,m
333,Larysa,Balanenko,Strii,2007-03-14 00:00:00,380968359007,f
334,Bohdan,Melko,Frankivsk,2015-07-25 00:00:00,380107041639,m
335,Veronika,Melko,Rivne,2010-05-31 00:00:00,380225169488,f
336,Vitalii,Melko,Odesa,2009-07-12 00:00:00,380175410016,m
337,Larysa,Hrytsenko,Rivne,2009-05-24 00:00:00,380193818853,f
338,Andrii,Hrytsenko,Kyiv,2013-04-26 00:00:00,380201556108,m
339,Svitlana,Ivanchenko,Odesa,2012-07-28 00:00:00,380165885972,f
340,Yevhen,Antonenko,Kyiv,2011-04-28 00:00:00,380919705168,m
341,Mariia,Kovalenko,Frankivsk,2013-08-28 00:00:00,380257536163,f
342,Yevhen,Ivanchenko,Odesa,2014-11-18 00:00:00,380700691946,m
343,Svitlana,Vasylchenko,Strii,2012-05-22 00:00:00,380266211640,f
344,Vitalii,Usenko,Sambir,2007-05-02 00:00:00,380377502705,m
345,Nataliia,Usenko,Odesa,2014-03-04 00:00:00,380974037686,f
346,Oleh,Fedorenko,Kyiv,2015-10-23 00:00:00,380268987841,m
347,Daryna,Usenko,Sambir,2016-02-25 00:00:00,380406495729,f
348,Fedir,Usenko,Lviv,2008-11-28 00:00:00,380953284078,m
349,Halyna,Kovalenko,Rivne,2014-08-25 00:00:00,380805536040,f
350,Oleh,Romanchuko,Dnipro,2009-08-30 00:00:00,380112874322,m
351,Mariia,Pavlenko,Frankivsk,2014-01-04 00:00:00,380553686157,f
352,Pavlo,Antonenko,Rivne,2016-05-19 00:00:00,380896952696,m
